,winner,loser,score,season,date
0,Rogozin Anton,Niyazov Zarrux,6-3 6-3,Tashkent Masters League,2024-06-01
1,Razzakov Alisher,Vohidov Nodir,6-3 6-3,Tashkent Masters League,2024-06-02
2,Razzakov Alisher,Rogozin Anton,7-5 6-2,Tashkent Masters League,2024-06-03
3,Musadjanov Hatam,Vohidov Nodir,7-5 6-4,Tashkent Masters League,2024-06-04
4,Rogozin Anton,Kamilov Baxriddin,6-3 6-3,Tashkent Masters League,2024-06-04
5,Shamuratov Farrukh,Zakharchenko Petro,7-5 6-1,Tashkent Masters League,2024-06-04
6,Niyazov Zarrux,Bukharov Ulugbek,6-3 3-6 6-1,Tashkent Masters League,2024-06-04
7,Razzakov Alisher,Malikov Humoyun,6-0 6-4,Tashkent Masters League,2024-06-05
8,Vohidov Nodir,Kamilov Baxriddin,3-6 6-2 6-4,Tashkent Masters League,2024-06-06
9,Rogozin Anton,Musadjanov Hatam,6-3 6-1,Tashkent Masters League,2024-06-06
10,Musadjanov Hatam,Malikov Humoyun,6-4 7-6,Tashkent Masters League,2024-06-06
11,Ruziev Davron,Shamuratov Farrukh,4-6 6-3 6-2,Tashkent Masters League,2024-06-06
12,Razzakov Alisher,Bukharov Ulugbek,6-2 6-2,Tashkent Masters League,2024-06-07
13,Shamuratov Farrukh,Logvis Kirill,6-2 6-7 (7/5) 7-6 (10/8),Tashkent Masters League,2024-06-09
14,Musadjanov Hatam,Kamilov Baxriddin,6-3 6-3,Tashkent Masters League,2024-06-11
15,Vohidov Nodir,Niyazov Zarrux,6-3 7-6 (7/3),Tashkent Masters League,2024-06-11
16,Rogozin Anton,Malikov Humoyun,6-2 2-6 6-4,Tashkent Masters League,2024-06-11
17,Rogozin Anton,Vohidov Nodir,2-6 6-3 6-2,Tashkent Masters League,2024-06-13
18,Bukharov Ulugbek,Kamilov Baxriddin,6-0 7-6 (7/3),Tashkent Masters League,2024-06-13
19,Razzakov Alisher,Kamilov Baxriddin,6-2 6-1,Tashkent Masters League,2024-06-14
20,Musadjanov Hatam,Bukharov Ulugbek,6-2 6-1,Tashkent Masters League,2024-06-14
21,Musadjanov Hatam,Razzakov Alisher,2-6 6-2 6-2,Tashkent Masters League,2024-06-14
22,Shamuratov Farrukh,Magomedov Arsen,6-1 6-4,Tashkent Masters League,2024-06-14
23,Tadjiev Khamdam,Magomedov Arsen,5-7 7-5 [10/6],Tashkent Masters League,2024-06-14
24,Musadjanov Hatam,Niyazov Zarrux,2-6 6-4 [10/4],Tashkent Masters League,2024-06-15
25,Shamuratov Farrukh,Xaleulin Ruslan,6-1 1-6 [10/8],Tashkent Masters League,2024-06-19
