year,season,division,last_name,first_name,position,match_count,win_count,tie_win_count,set_diff,game_diff,relegation
2025,1,M1,Rogozin,Anton,1,8,7,0,11,46,unchanged
2025,1,M1,Razzakov,Alisher,2,6,6,0,12,37,unchanged
2025,1,M1,Larionov,Svyatoslav,3,6,4,0,5,18,unchanged
2025,1,M1,Shirinov,Jahon,4,5,4,0,3,-1,unchanged
2025,1,M1,Shamuratov,Farrukh,5,7,3,1,-2,-17,unchanged
2025,1,M1,Musadjanov,Hatam,6,8,3,0,-4,3,relegated
2025,1,M1,Malikov,Humoyun,7,6,2,0,-3,-11,relegated
2025,1,M1,Kamilov,Baxriddin,8,6,0,0,-11,-33,relegated
2025,1,M1,Vohidov,Nodir,9,6,0,0,-11,-42,relegated
2025,1,M2,Abduvakhidov,Alisher,1,3,3,1,5,15,promoted
2025,1,M2,Akhtamov,Farrukh,2,6,3,0,-1,-6,promoted
2025,1,M2,Ibragimov,Murod,3,2,2,0,4,13,promoted
2025,1,M2,Isaboev,Sarvar,4,2,2,0,3,3,unchanged
2025,1,M2,Abduraimov,Vladimir,5,2,1,0,0,4,unchanged
2025,1,M2,Maxamedkasimov,Rustam,6,4,0,0,-6,-10,unchanged
2025,1,M2,Bukharov,Ulugbek,7,2,0,0,-3,-14,relegated
2025,1,M2,Ahrarov,Izzat,8,1,0,0,-2,-5,relegated
2025,1,M2,Niyazov,Zarrux,9,0,0,0,0,0,relegated
2025,1,M3,Abdullaev,Sharof,1,10,9,0,16,75,double promoted
2025,1,M3,Razzoqov,Davron,2,9,7,0,6,12,promoted
2025,1,M3,Alimatov,Burxon,3,7,6,2,9,27,promoted
2025,1,M3,Beknazarov,Botirbek,4,6,6,1,11,37,promoted
2025,1,M3,Rashidov,Amirkhan,5,9,6,0,4,29,unchanged
2025,1,M3,Tadjiev,Khamdam,6,6,6,0,11,45,unchanged
2025,1,M3,Mirzoev,Suren,7,10,5,0,2,2,unchanged
2025,1,M3,Azimov,Bobur,8,12,4,0,-6,-20,unchanged
2025,1,M3,Khidoyatov,Takhir,9,8,3,0,-4,-28,unchanged
2025,1,M3,Kadirov,Bakhrom,10,3,3,0,6,23,relegated
2025,1,M4,Pankratov,Vladimir,1,13,7,0,0,-11,promoted
